,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Accuracy,0.24,0.24,0.305,0.315,0.38,0.365,0.385,0.4,0.39,0.415,0.41,0.435,0.42,0.445,0.43,0.45,0.46,0.46,0.45,0.445,0.455,0.47,0.445,0.47,0.45,0.47,0.475,0.475,0.495,0.455,0.47,0.47,0.49,0.485,0.49,0.47,0.465,0.47,0.505,0.475,0.49,0.495,0.465,0.51,0.485,0.475,0.46,0.52,0.47,0.51
F1,0.04301075268817204,0.04301075268817204,0.09161311017172445,0.12154297886362568,0.22067518138753972,0.2217073974099425,0.25738139816782024,0.2524251680556769,0.24464879241386883,0.2957464109297432,0.2698057000578009,0.3256610449847165,0.29511405664797996,0.3434677592695008,0.3428945806077713,0.33542639710189065,0.3558870103838358,0.3732975898614508,0.3631869372877795,0.3725976261989687,0.37708520652557737,0.3773929897071724,0.36664305304314865,0.3881893254956319,0.373474049418429,0.37172792337161376,0.38828651123452773,0.40368435603258057,0.4070930744740269,0.3644143107423002,0.3936343036809516,0.3839048627795431,0.4144692608978323,0.40776441445221734,0.40597856412734806,0.38712019013544297,0.3842964221193642,0.39617628263730853,0.41570514457430235,0.39951162759249104,0.42460471627138285,0.4046928519108317,0.386603678188488,0.4219072250936883,0.4119665912705577,0.3869682230337968,0.37988130566902667,0.4396863720473159,0.3997859690847598,0.43189204925858093
